Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,16.009800,16.095699,15.904300,16.068300,2.422041,47600787
1996-01-02,16.029301,16.107401,15.826200,15.943400,2.403215,77143764
1996-01-03,16.205000,16.943001,16.029301,16.064400,2.421453,95695836
1996-01-04,15.912100,15.962900,15.701300,15.916000,2.399085,99159504
1996-01-05,15.853600,15.853600,15.670000,15.806700,2.382609,76213503
1996-01-08,15.775500,15.787200,15.017900,15.174100,2.287255,85478335
1996-01-09,14.725100,14.994500,14.233100,14.736800,2.221339,177730990
1996-01-10,14.447800,14.795400,14.291600,14.358000,2.164241,126455257
1996-01-11,14.213500,14.877400,14.194000,14.807100,2.231935,187276245
1996-01-12,14.916400,15.029600,14.553300,14.650900,2.208391,171294714
1996-01-15,14.607900,14.682100,14.416600,14.498600,2.185434,91424832
1996-01-16,14.447800,14.604000,14.401000,14.525900,2.189549,99318282
1996-01-17,14.447800,14.467400,13.827000,13.948000,2.102440,136980711
1996-01-18,13.592700,13.815300,13.417000,13.561400,2.044166,172581585
1996-01-19,13.374000,13.541900,13.233400,13.323200,2.008261,148366639
1996-01-22,13.366200,13.725400,13.354500,13.549700,2.042403,154802916
1996-01-23,13.596600,13.655200,12.261100,12.975700,1.955881,162257165
1996-01-24,12.862500,12.940600,12.339200,12.530600,1.888789,160550300
1996-01-25,12.503200,12.557900,11.929200,12.003400,1.809322,164971119
1996-01-26,null,null,null,null,null,null
1996-01-29,11.948700,13.061600,11.874600,12.948400,1.951766,298484960
1996-01-30,13.354500,14.760200,13.159200,14.112000,2.127161,485481422
1996-01-31,13.979300,14.506400,13.452100,13.803500,2.080659,334445006
1996-02-01,13.666900,14.447800,13.627800,14.358000,2.164241,292779831
1996-02-02,14.740700,16.087900,14.740700,15.916000,2.399085,374293835
1996-02-05,16.790701,17.587299,16.287001,17.239799,2.598627,558877894
1996-02-06,17.653700,17.962200,15.431900,15.795000,2.380846,567944894
1996-02-07,14.920300,16.243999,14.764100,16.087900,2.424996,409365875
1996-02-08,16.251900,17.778601,16.087900,17.493601,2.636883,375632565
1996-02-09,18.118401,18.899300,17.501400,18.508900,2.789923,454624685
1996-02-12,18.040300,18.352600,17.103100,17.349100,2.615101,444182462
1996-02-13,17.181200,19.067200,17.032801,18.391701,2.772258,465868482
1996-02-14,18.860300,19.129700,18.262800,18.403400,2.774021,284567545
1996-02-15,17.962200,18.547899,17.806000,18.110500,2.729872,319621659
1996-02-16,17.806000,17.981701,17.653700,17.790400,2.681621,226593039
1996-02-19,18.118401,18.368299,17.864500,17.969999,2.708693,236918099
1996-02-20,17.962200,18.036400,16.790701,17.021099,2.565661,292189535
1996-02-21,null,null,null,null,null,null
1996-02-22,17.415501,18.040300,17.263201,17.919201,2.701035,280498215
1996-02-23,17.884100,17.923100,17.431101,17.727900,2.672200,249656203
1996-02-26,17.923100,18.294100,17.653700,17.766899,2.678077,249137613
1996-02-27,17.868500,17.962200,17.263201,17.563900,2.647480,248008880
1996-02-28,17.903601,18.102699,17.610701,17.649799,2.660428,195587768
1996-02-29,17.493601,17.556101,16.439301,16.544701,2.493852,319055691
1996-03-01,16.673599,16.884399,16.287001,16.638399,2.507975,330610002
1996-03-04,16.712601,16.790701,16.275299,16.466600,2.482079,307859272
1996-03-05,null,null,null,null,null,null
